company_name,bursa_code,bursa_sector,report_title_year,report_url,source_page,onsite_childcare,childcare_subsidy,childcare_subsidy_amount,nursing_room,priority_parking_expectant,maternity_leave,paternity_leave,parental_childcare_leave,extended_unpaid_care_leave,remote_wfh,hybrid,part_time,flexible_hours,return_to_work_program,career_comeback_partner,benefit_raw_text,qa_checked_by
UOA Development Berhad,5200,Property,UOA Development Annual Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=UOADEV&sFileName=26117000066976&sReportType=AR,50,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave | maternity leave | paternity leave,Pending second-person QA
Sunway Construction Group Berhad,5263,Construction,Sunway Construction Integrated Annual Report 2025,https://ir2.chartnexus.com/suncon/doc/ar/ar2025.pdf,342,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,social performance data | parental leave,Pending second-person QA
Johor Plantations Group Berhad,5323,Plantation,Johor Plantations Group Integrated Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=JPG&sFileName=26106000066793&sReportType=AR,257,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees entitled to parental leave | employees used parental leave,Pending second-person QA
MHC Plantations Bhd,5026,Plantation,MHC Plantations Annual Report 2024 (latest available official report),https://www.mhc.com.my/wp-content/uploads/2025/04/MHC-Annual-Report-2024.pdf,"34, 52",Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,childcare facilities at operating units | crèche for guest workers,Pending second-person QA
NPC Resources Berhad,5047,Plantation,NPC Resources Annual Report 2024 (latest available official report),https://www.npc.com.my/NPC%202024%20-%20Bursa.pdf,79,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (paid absence; duration not stated),Yes (paid absence; duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,paid absences include maternity leave and paternity leave,Pending second-person QA
Cepatwawasan Group Berhad,8982,Plantation,Cepatwawasan Annual Report 2024 (latest available official report),https://cepatgroup.com/wp-content/uploads/2025/04/ANNUAL-REPORT-2024.pdf,83,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (paid absence; duration not stated),Yes (paid absence; duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,paid absences include maternity leave and paternity leave,Pending second-person QA
Innoprise Plantations Berhad,6262,Plantation,Innoprise Plantations Annual Report 2025,https://innoprise.com.my/wp-content/uploads/2026/04/Annual-Report-2025.pdf,46,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,estate facilities include childcare centers,Pending second-person QA
Kretam Holdings Berhad,1996,Plantation,Kretam Holdings Annual Report 2024,https://www.bursamalaysia.com/market_information/announcements/company_announcement/announcement_details?ann_id=3547792,Employee benefits accounting policy; exact PDF page pending QA,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (paid absence; duration not stated),Yes (paid absence; duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,paid absences include maternity leave and paternity leave,Pending second-person QA
TH Plantations Berhad,5112,Plantation,TH Plantations Annual Report 2025,https://www.thplantations.my/doc/agm/2026/ar2025.pdf,85,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees who took parental leave | employees returned to work after parental leave,Pending second-person QA
Pinehill Pacific Berhad,1902,Plantation,Pinehill Pacific Annual Report 2023 (latest official report located),https://www.pinepac.com.my/pdf/2023_Pinehill-Annual-Report.pdf,18,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employment benefits include maternity leave,Pending second-person QA
United Plantations Berhad,2089,Plantation,United Plantations Sustainability Report 2025,https://unitedplantations.com/wp-content/uploads/2026/02/Sustainability_Report_2025.pdf,87,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,"crèches, playgroup classes and kindergartens at all operating sites",Pending second-person QA
Sarawak Oil Palms Berhad,5126,Plantation,Sarawak Oil Palms Annual Report 2025,https://www.sop.com.my/wp-content/uploads/2026/04/Annual-Report-2025.pdf,111,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,Parental Leave | Maternity and Paternity | return-to-work and retention rates,Pending second-person QA
